Canciones,id_tracks,duracion_ms,popularidad,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,time_signature,Canción,Artista/Banda,Producto,Categoría de Producto,Industria,Año
Vertigo - Radio Edit,0FLfPLKtR5ACfEwJqN9w2k,190866,0,14,417,836,213,209,-3,569,140,664,9,1,4.0,Vertigo - Radio Edit,U2,The Simpsons Movie,Película,Entretenimiento y Medios,2007
Vestida De Nit,0lMd8MhLRcbKwSjYT26LEV,348519,0,885,208,285,901,889,-6,343,76,0,4,1,3.0,Vestida De Nit,Silvia Pérez Cruz,Estrella Damm,Alimentos y bebidas,Consumo y Retail,2017
Via con me,2P2rhs7AtvqUzerhAZDbNu,166546,67,724,663,479,281,135,-16,155,164,714,5,1,4.0,Via con me,Paolo Conte,Martini,Alimentos y bebidas,Consumo y Retail,2017
Via con me,2P2rhs7AtvqUzerhAZDbNu,166546,67,724,663,479,281,135,-16,155,164,714,5,1,4.0,Via con me,Paolo Conte,MasterCard,Bancos y servicios financieros,Finanzas y Servicios Profesionales,2011
Via con me,2P2rhs7AtvqUzerhAZDbNu,166546,67,724,663,479,281,135,-16,155,164,714,5,1,4.0,Via con me,Paolo Conte,Valentino Uomo,Moda y belleza,Consumo y Retail,2014
Via con me,2P2rhs7AtvqUzerhAZDbNu,166546,67,724,663,479,281,135,-16,155,164,714,5,1,4.0,Via con me,Paolo Conte,French Kiss,Película,Entretenimiento y Medios,1995
Via con me,2P2rhs7AtvqUzerhAZDbNu,166546,67,724,663,479,281,135,-16,155,164,714,5,1,4.0,Via con me,Paolo Conte,Mostly Martha,Película,Entretenimiento y Medios,2001
Via con me,2P2rhs7AtvqUzerhAZDbNu,166546,67,724,663,479,281,135,-16,155,164,714,5,1,4.0,Via con me,Paolo Conte,Welcome to Collinwood,Película,Entretenimiento y Medios,2002
Via con me,2P2rhs7AtvqUzerhAZDbNu,166546,67,724,663,479,281,135,-16,155,164,714,5,1,4.0,Via con me,Paolo Conte,Peugeot,Vehículos y automóviles,Automotriz y Transporte,2013
Vida Loca,4w9o81y0dXFKgraEwfEgTz,194480,60,866,429,328,5,983,-10,603,68,262,1,0,4.0,Vida Loca,Francisco Céspedes,Coronita,Alimentos y bebidas,Consumo y Retail,2010
